Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-5621575,"CD209 (DC-SIGN) signaling",0,30,1,216,0.0018679950186799503,0.4718832298678496,0.5370586068337619,1,11,7.072135785007072E-4,9606,Homo sapiens,"","",CCL5,Q04206,"R-HSA-5660980"
R-HSA-1489509,"DAG and IP3 signaling",0,53,1,185,0.0033001245330012453,0.4718832298678496,0.5370586068337619,2,28,0.0018001800180018,9606,Homo sapiens,"","",FN1,P52292,"R-HSA-9619127;R-HSA-112282"
R-HSA-6803205,"TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain",0,28,1,214,0.0017434620174346202,0.47620903267111325,0.5370586068337619,2,19,0.0012215507265012214,9606,Homo sapiens,"","",GAPDH,Q92696,"R-HSA-6801089;R-HSA-6801101"
R-HSA-373755,"Semaphorin interactions",0,71,2,181,0.004420921544209215,0.47764319584484594,0.5370586068337619,2,41,0.002635977883502636,9606,Homo sapiens,"","",ACTG1;GAPDH,P49841;P23528,"R-HSA-399950;R-HSA-399951"
R-HSA-72737,"Cap-dependent Translation Initiation",1,130,1,126,0.00809464508094645,0.47907349066633054,0.5370586068337619,4,18,0.0011572585830011573,9606,Homo sapiens,"RPL41","P62945",PCBP2,P11940,"R-HSA-72673;R-HSA-72672;R-HSA-156808;R-HSA-72671"
R-HSA-6796648,"TP53 Regulates Transcription of DNA Repair Genes",0,86,1,161,0.005354919053549191,0.47907349066633054,0.5370586068337619,1,17,0.001092966439501093,9606,Homo sapiens,"","",ACTG1,P40692,"R-HSA-6806392"
R-HSA-927802,"Nonsense-Mediated Decay (NMD)",1,124,1,137,0.007721046077210461,0.4833412676468716,0.5370586068337619,6,6,3.8575286100038574E-4,9606,Homo sapiens,"RPL41","P62945",PCBP2,P11940,"R-HSA-927836;R-HSA-927789;R-HSA-927832;R-HSA-927830;R-HSA-927813;R-HSA-927889"
R-HSA-975957,"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",1,124,1,137,0.007721046077210461,0.4833412676468716,0.5370586068337619,5,5,3.2146071750032145E-4,9606,Homo sapiens,"RPL41","P62945",PCBP2,P11940,"R-HSA-927836;R-HSA-927832;R-HSA-927830;R-HSA-927813;R-HSA-927889"
R-HSA-4791275,"Signaling by WNT in cancer",0,38,1,216,0.0023661270236612704,0.4833412676468716,0.5370586068337619,3,16,0.0010286742960010286,9606,Homo sapiens,"","",GAPDH,P49841,"R-HSA-4791278;R-HSA-4839746;R-HSA-4839734"
R-HSA-350054,"Notch-HLH transcription pathway",0,28,1,225,0.0017434620174346202,0.4875745977981635,0.5370586068337619,2,2,1.2858428700012858E-4,9606,Homo sapiens,"","",HLA-A,Q13573,"R-HSA-212356;R-HSA-350058"
R-HSA-5625886,"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",0,48,1,199,0.0029887920298879204,0.4875745977981635,0.5370586068337619,1,11,7.072135785007072E-4,9606,Homo sapiens,"","",VIM,Q16512,"R-HSA-5625717"
R-HSA-168638,"NOD1/2 Signaling Pathway",0,41,2,222,0.002552926525529265,0.49037781609669984,0.5370586068337619,3,18,0.0011572585830011573,9606,Homo sapiens,"","",ACTG1;VIM,Q9HC29;Q9Y6K9,"R-HSA-9676160;R-HSA-622415;R-HSA-168412"
R-HSA-9830364,"Formation of the nephric duct",0,31,1,216,0.0019302615193026152,0.49037781609669984,0.5370586068337619,2,19,0.0012215507265012214,9606,Homo sapiens,"","",GAPDH,P35222,"R-HSA-9830368;R-HSA-9830371"
